潮汕,#genre#
文化精品,http://lede.medahl.com:10098/udp/239.76.254.56:9000
文化精品,http://118.254.157.12:8888/udp/239.76.254.56:9000
世界地理,http://118.254.156.192:8888/udp/239.76.254.57:9000
世界地理,http://118.254.156.78:8888/udp/239.76.254.57:9000
世界地理,http://118.254.156.162:8888/udp/239.76.254.57:9000
世界地理,http://lede.medahl.com:10098/udp/239.76.254.57:9000
世界地理,http://118.254.157.12:8888/udp/239.76.254.57:9000
兵器科技,http://118.254.156.192:8888/udp/239.76.254.59:9000
兵器科技,http://118.254.156.78:8888/udp/239.76.254.59:9000
兵器科技,http://118.254.156.162:8888/udp/239.76.254.59:9000
兵器科技,http://lede.medahl.com:10098/udp/239.76.254.59:9000
兵器科技,http://118.254.157.12:8888/udp/239.76.254.59:9000
央视台球,http://118.254.156.192:8888/udp/239.76.254.58:9000
央视台球,http://118.254.156.78:8888/udp/239.76.254.58:9000
央视台球,http://118.254.156.162:8888/udp/239.76.254.58:9000
央视台球,http://lede.medahl.com:10098/udp/239.76.254.58:9000
央视台球,http://118.254.157.12:8888/udp/239.76.254.58:9000
怀旧剧场,http://118.254.156.192:8888/udp/239.76.254.53:9000
怀旧剧场,http://118.254.156.78:8888/udp/239.76.254.53:9000
怀旧剧场,http://118.254.156.162:8888/udp/239.76.254.53:9000
怀旧剧场,http://lede.medahl.com:10098/udp/239.76.254.53:9000
怀旧剧场,http://118.254.157.12:8888/udp/239.76.254.53:9000
高尔夫网球,http://118.254.156.192:8888/udp/239.76.254.62:9000
高尔夫网球,http://118.254.156.78:8888/udp/239.76.254.62:9000
高尔夫网球,http://118.254.156.162:8888/udp/239.76.254.62:9000
高尔夫网球,http://lede.medahl.com:10098/udp/239.76.254.62:9000
高尔夫网球,http://118.254.157.12:8888/udp/239.76.254.62:9000
兵器科技,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638077907bdcd/index.m3u8?m3u8_level=2
