潮汕,#genre#  
广东体育（深圳）,http://113.100.72.40:8899/udp/239.77.1.97:5146
广东体育-测试,http://113.100.72.40:8899/udp/239.77.0.112:5146
广东体育超清,http://113.100.72.40:8899/udp/239.77.0.168:5146
广东体育,http://113.100.72.40:8899/udp/239.77.0.6:5146
经济科教,http://113.100.72.40:8899/udp/239.77.0.85:5146
经济科教超清,http://113.100.72.40:8899/udp/239.77.0.167:5146
经济科教,http://113.100.72.40:8899/udp/239.77.0.8:5146
广东影视,http://113.100.72.40:8899/udp/239.77.0.217:5146
广东影视,http://113.100.72.40:8899/udp/239.77.0.11:5146
广东少儿,http://113.100.72.40:8899/udp/239.77.0.250:5146
广东少儿,http://113.100.72.40:8899/udp/239.77.0.12:5146
嘉佳卡通,http://113.100.72.40:8899/udp/239.77.0.179:5146
嘉佳卡通,http://113.100.72.40:8899/udp/239.77.0.13:5146
嘉佳卡通,http://113.100.72.40:8899/udp/239.77.1.15:5146
广东综艺 4K50p,http://113.100.72.40:8899/udp/239.77.1.236:5146
广东综艺 4K,http://113.100.72.40:8899/udp/239.77.1.237:5146
广东综艺(4k),http://113.100.72.40:8899/udp/239.77.0.244:5146
广东卫视,http://msa.mxsa.cc:4000/udp/239.77.1.19:5146
广东卫视,http://msa.mxsa.cc:4000/udp/239.77.1.152:5146
广东卫视,http://msa.mxsa.cc:4000/udp/239.77.0.84:5146
广东卫视超清,http://msa.mxsa.cc:4000/udp/239.77.0.166:5146
南方卫视,http://msa.mxsa.cc:4000/udp/239.77.0.215:5146
南方卫视,http://msa.mxsa.cc:4000/udp/239.77.0.9:5146
南方卫视,http://msa.mxsa.cc:4000/udp/239.77.1.12:5146
广东珠江,http://msa.mxsa.cc:4000/udp/239.77.0.1:5146
广东珠江超清,http://msa.mxsa.cc:4000/udp/239.77.0.114:5146
广东新闻,http://msa.mxsa.cc:4000/udp/239.77.0.173:5146
广东新闻,http://msa.mxsa.cc:4000/udp/239.77.0.4:5146
广东公共,http://msa.mxsa.cc:4000/udp/239.77.0.225:5146
广东公共,http://msa.mxsa.cc:4000/udp/239.77.0.5:5146
广东民生,http://msa.mxsa.cc:4000/udp/239.77.0.225:5146
广东民生,http://msa.mxsa.cc:4000/udp/239.77.0.5:5146
广东体育（深圳）,http://msa.mxsa.cc:4000/udp/239.77.1.97:5146
广东体育-测试,http://msa.mxsa.cc:4000/udp/239.77.0.112:5146
广东体育超清,http://msa.mxsa.cc:4000/udp/239.77.0.168:5146
广东体育,http://msa.mxsa.cc:4000/udp/239.77.0.6:5146
经济科教,http://msa.mxsa.cc:4000/udp/239.77.0.85:5146
经济科教超清,http://msa.mxsa.cc:4000/udp/239.77.0.167:5146
经济科教,http://msa.mxsa.cc:4000/udp/239.77.0.8:5146
广东影视,http://msa.mxsa.cc:4000/udp/239.77.0.217:5146
广东影视,http://msa.mxsa.cc:4000/udp/239.77.0.11:5146
广东少儿,http://msa.mxsa.cc:4000/udp/239.77.0.250:5146
广东少儿,http://msa.mxsa.cc:4000/udp/239.77.0.12:5146
嘉佳卡通,http://msa.mxsa.cc:4000/udp/239.77.0.179:5146
嘉佳卡通,http://msa.mxsa.cc:4000/udp/239.77.0.13:5146
嘉佳卡通,http://msa.mxsa.cc:4000/udp/239.77.1.15:5146
广东综艺 4K50p,http://msa.mxsa.cc:4000/udp/239.77.1.236:5146
广东综艺 4K,http://msa.mxsa.cc:4000/udp/239.77.1.237:5146
广东综艺(4k),http://msa.mxsa.cc:4000/udp/239.77.0.244:5146
GRTN文化频道,https://glive.grtn.cn/live/wenhua_test0203.m3u8
GRTN生活频道,http://glive.grtn.cn/live/life.m3u8
GRTN纪录片频道,http://glive.grtn.cn/live/jilupian.m3u8
GRTN健康频道,http://glive.grtn.cn/live/health.m3u8
GRTN荔枝台,http://glive.grtn.cn/live/lizhi.m3u8
广东卫视,http://php.jdshipin.com:8880/PLTV/chudian.php?id=gdws
广东珠江,http://php.jdshipin.com:8880/PLTV/chudian.php?id=gdzj
大湾区卫视,http://php.jdshipin.com:8880/PLTV/chudian.php?id=nfws
广东民生,http://php.jdshipin.com:8880/PLTV/chudian.php?id=gdms
广东新闻,http://php.jdshipin.com:8880/PLTV/chudian.php?id=xwpd
广东经济科教,http://php.jdshipin.com:8880/PLTV/chudian.php?id=gdjjkj
广东体育,http://php.jdshipin.com:8880/PLTV/chudian.php?id=gdty
广东少儿,http://php.jdshipin.com:8880/PLTV/chudian.php?id=gdse
广东影视,http://php.jdshipin.com:8880/PLTV/chudian.php?id=gdys
嘉佳卡通,http://php.jdshipin.com:8880/PLTV/chudian.php?id=jjkt
广东移动,http://php.jdshipin.com:8880/PLTV/chudian.php?id=gdyd
广东综艺4K,http://php.jdshipin.com:8880/PLTV/chudian.php?id=gdzy
广东珠江,http://php.jdshipin.com:8880/chudian.php?id=gdzj
大湾区卫视,http://php.jdshipin.com:8880/chudian.php?id=nfws
广东民生,http://php.jdshipin.com:8880/chudian.php?id=gdms
广东新闻,http://php.jdshipin.com:8880/chudian.php?id=gdxw
广东经济科教,http://php.jdshipin.com:8880/chudian.php?id=gdjjkj
广东体育,http://php.jdshipin.com:8880/chudian.php?id=gdty
广东少儿,http://php.jdshipin.com:8880/chudian.php?id=gdse
广东影视,http://php.jdshipin.com:8880/chudian.php?id=gdys
嘉佳卡通,http://php.jdshipin.com:8880/chudian.php?id=jjkt
广东国际,http://php.jdshipin.com:8880/chudian.php?id=gdgj
广东移动,http://php.jdshipin.com:8880/chudian.php?id=gdyd
广东综艺4K,http://php.jdshipin.com:8880/chudian.php?id=gdzy

央视卫视,#genre#
CCTV1,P2p://generationnexxxt.com:19806/f1e3bc8a344e49dab603272c8fd2641e
CCTV2,P2p://generationnexxxt.com:19806/ce08ee69cea5402c99bf285704eac3e5
CCTV3,P2p://generationnexxxt.com:19806/784f6703531044be9cee14b793948d30
CCTV4,P2p://generationnexxxt.com:19806/50c3e18e04bf478db59251455cf3d309
CCTV5,P2p://generationnexxxt.com:19806/7d00bdeddb6c422796e62ae9e8b9398d
CCTV5+,P2p://generationnexxxt.com:19806/65a531aa00057c26dd8d1ccf196a034e
CCTV6,P2p://generationnexxxt.com:19806/3ec70c48b2024e4f9210169aec2914c7
CCTV7,P2p://generationnexxxt.com:19806/e70ef03e57794075962ec3960df5b167
CCTV8,P2p://generationnexxxt.com:19806/65a52e1d00012b4cdd7f3cee366e723b
CCTV9,P2p://generationnexxxt.com:19806/65a52e1d0007b3b6dd7f3e945c727248
CCTV10,P2p://generationnexxxt.com:19806/65a52e1d000c0c0bdd7f3fad13ad7f10
CCTV11,P2p://generationnexxxt.com:19806/65a52e1e0002f04bdd7f414333117e01
CCTV12,P2p://generationnexxxt.com:19806/65a52e1e0008b4e1dd7f42ba38ef4a02
CCTV13,P2p://generationnexxxt.com:19806/65a52dc0000d93bbdd7dd4d235813afb
CCTV14,P2p://generationnexxxt.com:19806/65a52dc1000332e5dd7dd60b29277892
CCTV15,P2p://generationnexxxt.com:19806/65a52dc10008dffbdd7dd78215274e95
CCTV16,P2p://generationnexxxt.com:19806/65a614e0000be91ae104b1833fc057ba
