潮汕,#genre#
CCTV10,http://www.cjtt.love:9307/rtp/239.253.250.236:8000
CCTV11,http://www.cjtt.love:9307/rtp/239.253.250.12:8000
CCTV12,http://www.cjtt.love:9307/rtp/239.253.250.237:8000
CCTV13,http://www.cjtt.love:9307/rtp/239.253.250.14:8000
CCTV14,http://www.cjtt.love:9307/rtp/239.253.250.238:8000
CCTV15,http://www.cjtt.love:9307/rtp/239.253.250.16:8000
CCTV17,http://www.cjtt.love:9307/rtp/239.253.250.168:8000
CGTV,http://www.cjtt.love:9307/rtp/239.253.250.17:8000
CETV1,http://www.cjtt.love:9307/rtp/239.253.250.110:8000
CETV2,http://www.cjtt.love:9307/rtp/239.253.250.107:8000
CETV4,http://www.cjtt.love:9307/rtp/239.253.250.108:8000
CCTV1,http://router.bingyu.in:40000/rtp/239.253.252.77:8000
CCTV2,http://router.bingyu.in:40000/rtp/239.253.252.234:8000
CCTV3,http://router.bingyu.in:40000/rtp/239.253.252.4:8000
CCTV3,http://router.bingyu.in:40000/rtp/239.253.252.124:8000
CCTV3,http://router.bingyu.in:40000/rtp/239.253.252.129:8000
CCTV3,http://router.bingyu.in:40000/rtp/239.253.252.191:8000
CCTV4,http://router.bingyu.in:40000/rtp/239.253.252.111:8000
CCTV5,http://router.bingyu.in:40000/rtp/239.253.252.6:8000
CCTV5,http://router.bingyu.in:40000/rtp/239.253.252.192:8000
央视网5,http://router.bingyu.in:40000/rtp/239.253.252.109:8000
央视网5,http://router.bingyu.in:40000/rtp/239.253.252.131:8000
CCTV5+,http://router.bingyu.in:40000/rtp/239.253.252.80:8000
CCTV6,http://router.bingyu.in:40000/rtp/239.253.252.7:8000
CCTV6,http://router.bingyu.in:40000/rtp/239.253.252.193:8000
CCTV7,http://router.bingyu.in:40000/rtp/239.253.252.235:8000
CCTV8,http://router.bingyu.in:40000/rtp/239.253.252.211:8000
CCTV8,http://router.bingyu.in:40000/rtp/239.253.252.9:8000
CCTV8,http://router.bingyu.in:40000/rtp/239.253.252.194:8000
CCTV9,http://router.bingyu.in:40000/rtp/239.253.252.79:8000
CCTV10,http://router.bingyu.in:40000/rtp/239.253.252.236:8000
CCTV11,http://router.bingyu.in:40000/rtp/239.253.252.12:8000
CCTV12,http://router.bingyu.in:40000/rtp/239.253.252.237:8000
CCTV13,http://router.bingyu.in:40000/rtp/239.253.252.14:8000
CCTV14,http://router.bingyu.in:40000/rtp/239.253.252.238:8000
CCTV14,http://router.bingyu.in:40000/rtp/239.253.252.223:8000
CCTV15,http://router.bingyu.in:40000/rtp/239.253.252.16:8000
CCTV17,http://router.bingyu.in:40000/rtp/239.253.252.168:8000
CCTV1,http://ty.19911013.top:8888/rtp/239.253.230.77:8000
CCTV2,http://ty.19911013.top:8888/rtp/239.253.230.234:8000
CCTV3,http://ty.19911013.top:8888/rtp/239.253.230.4:8000
CCTV4,http://ty.19911013.top:8888/rtp/239.253.230.111:8000
CCTV5,http://ty.19911013.top:8888/rtp/239.253.230.6:8000
CCTV5+,http://ty.19911013.top:8888/rtp/239.253.230.80:8000
CCTV6,http://ty.19911013.top:8888/rtp/239.253.230.7:8000
CCTV7,http://ty.19911013.top:8888/rtp/239.253.230.235:8000
CCTV8,http://ty.19911013.top:8888/rtp/239.253.230.9:8000
CCTV9,http://ty.19911013.top:8888/rtp/239.253.230.79:8000
CCTV10,http://ty.19911013.top:8888/rtp/239.253.230.236:8000
CCTV11,http://ty.19911013.top:8888/rtp/239.253.230.12:8000
CCTV12,http://ty.19911013.top:8888/rtp/239.253.230.237:8000
CCTV13,http://ty.19911013.top:8888/rtp/239.253.230.14:8000
CCTV14,http://ty.19911013.top:8888/rtp/239.253.230.238:8000
CCTV15,http://ty.19911013.top:8888/rtp/239.253.230.16:8000
CCTV17,http://ty.19911013.top:8888/rtp/239.253.230.168:8000
CGTV,http://ty.19911013.top:8888/rtp/239.253.230.17:8000
CETV1,http://ty.19911013.top:8888/rtp/239.253.230.110:8000
CETV2,http://ty.19911013.top:8888/rtp/239.253.230.107:8000
CETV4,http://ty.19911013.top:8888/rtp/239.253.230.108:8000
CCTV1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8
CCTV2,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8
CCTV3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8
CCTV4,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226007/index.m3u8
CCTV5,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226019/index.m3u8
CCTV5+,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225603/index.m3u8
CCTV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226010/index.m3u8
CCTV8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226008/index.m3u8
CCTV9,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225734/index.m3u8
CCTV13,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226011/index.m3u8
CCTV16,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226100/index.m3u8
CCTV17,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225765/index.m3u8
CCTV1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
