潮汕,#genre#
汕头新闻综合,http://www.zzlag.top:9087/tsfile/live/1002_1.m3u8?key=txiptv
汕头经济生活,http://www.zzlag.top:9087/tsfile/live/1003_1.m3u8?key=txiptv
汕头文旅体育,http://www.zzlag.top:9087/tsfile/live/1004_1.m3u8?key=txiptv
汕头新闻综合,http://120.234.49.38:7000/udp/239.21.0.101:3744
汕头经济生活,http://120.234.49.38:7000/udp/239.21.0.102:3748
汕头文旅体育,http://120.234.49.38:7000/udp/239.21.0.103:3752
汕头新闻综合,http://113.86.204.79:9999/udp/239.77.1.130:5146
汕头新闻综合,http://113.86.204.79:9999/udp/239.77.43.45:5146
汕头经济生活,http://113.86.204.79:9999/udp/239.77.1.131:5146
汕头经济生活,http://113.86.204.79:9999/udp/239.77.43.46:5146
汕头文旅体育,http://113.86.204.79:9999/udp/239.77.1.132:5146
汕头文旅体育,http://113.86.204.79:9999/udp/239.77.43.47:5146
汕头新闻综合,http://113.100.72.40:8899/udp/239.77.1.130:5146
汕头新闻综合,http://113.100.72.40:8899/udp/239.253.43.45:5146
汕头经济生活,http://113.100.72.40:8899/udp/239.77.1.131:5146
汕头新闻综合,http://php.jdshipin.com:8880/PLTV/iptv.php?id=stzh
汕头经济生活,http://113.100.72.40:8899/udp/239.253.43.46:5146
汕头文旅体育,http://113.100.72.40:8899/udp/239.77.1.132:5146
汕头文旅体育,http://113.100.72.40:8899/udp/239.253.43.47:5146
汕头新闻综合,http://l2tp.yeedah.xyz:8000/rtp/239.77.1.130:5146$24.06.26
汕头新闻综合,http://120.234.5.28:6000/rtp/239.21.0.98:3732
汕头文旅体育,http://l2tp.yeedah.xyz:8000/rtp/239.77.1.132:5146
汕头文旅体育,http://120.234.5.28:6000/rtp/239.21.0.100:3740
汕头经济生活,http://l2tp.yeedah.xyz:8000/rtp/239.77.1.131:5146
汕头经济生活,http://120.234.5.28:6000/rtp/239.21.0.99:3736
汕头新闻综合,http://www.zzlag.top:9087/tsfile/live/1002_1.m3u8?key=txiptv$24.06.26
汕头经济生活,http://www.recker.cc:4022/rtp/239.77.1.131:5146
汕头文旅体育,http://www.recker.cc:4022/rtp/239.77.1.132:5146
汕头新闻综合,http://ddns.cyruslee.top:8888/rtp/239.77.1.130:5146
汕头经济生活,http://ddns.cyruslee.top:8888/rtp/239.77.1.131:5146
汕头文旅体育,http://ddns.cyruslee.top:8888/rtp/239.77.1.132:5146
汕头新闻综合,http://ddns.cyruslee.top:8888/rtp/239.253.43.45:5146
汕头经济生活,http://ddns.cyruslee.top:8888/rtp/239.253.43.46:5146
汕头文旅体育,http://ddns.cyruslee.top:8888/rtp/239.253.43.47:5146
汕头新闻综合,http://sslsz.oceaniwork.com:4022/udp/239.77.1.130:5146
汕头经济生活,http://sslsz.oceaniwork.com:4022/udp/239.77.1.131:5146
汕头文旅体育,http://sslsz.oceaniwork.com:4022/udp/239.77.1.132:5146
潮州综合,http://www.zzlag.top:9087/tsfile/live/1066_1.m3u8?key=txiptv
潮州公共,http://www.zzlag.top:9087/tsfile/live/1009_1.m3u8?key=txiptv
岭南戏曲,http://www.zzlag.top:9087/tsfile/live/1005_1.m3u8?key=txiptv
揭阳公共,http://www.zzlag.top:9087/tsfile/live/1006_1.m3u8?key=txiptv
揭阳综合,http://www.zzlag.top:9087/tsfile/live/1007_1.m3u8?key=txiptv
潮安,http://www.zzlag.top:9087/tsfile/live/1008_1.m3u8?key=txiptv
饶平,http://www.zzlag.top:9087/tsfile/live/1058_1.m3u8?key=txiptv
央视卫视,#genre#
CCTV1,http://www.zzlag.top:9087/tsfile/live/1010_1.m3u8?key=txiptv
CCTV2,http://www.zzlag.top:9087/tsfile/live/1011_1.m3u8?key=txiptv
CCTV3,http://www.zzlag.top:9087/tsfile/live/1012_1.m3u8?key=txiptv
CCTV4,http://www.zzlag.top:9087/tsfile/live/1013_1.m3u8?key=txiptv
CCTV5,http://www.zzlag.top:9087/tsfile/live/1014_1.m3u8?key=txiptv
CCTV6,http://www.zzlag.top:9087/tsfile/live/1015_1.m3u8?key=txiptv
CCTV7,http://www.zzlag.top:9087/tsfile/live/1016_1.m3u8?key=txiptv
CCTV8,http://www.zzlag.top:9087/tsfile/live/1017_1.m3u8?key=txiptv
CCTV9,http://www.zzlag.top:9087/tsfile/live/1018_1.m3u8?key=txiptv
CCTV10,http://www.zzlag.top:9087/tsfile/live/1019_1.m3u8?key=txiptv
CCTV5+,http://www.zzlag.top:9087/tsfile/live/1020_1.m3u8?key=txiptv
CCTV12,http://www.zzlag.top:9087/tsfile/live/1021_1.m3u8?key=txiptv
CCTV13,http://www.zzlag.top:9087/tsfile/live/1022_1.m3u8?key=txiptv
CCTV14,http://www.zzlag.top:9087/tsfile/live/1023_1.m3u8?key=txiptv
CCTV15,http://www.zzlag.top:9087/tsfile/live/1024_1.m3u8?key=txiptv
CCTV怀旧剧场,http://www.zzlag.top:9087/tsfile/live/1025_1.m3u8?key=txiptv
CCTV16,http://www.zzlag.top:9087/tsfile/live/1000_1.m3u8?key=txiptv
CCTV17,http://www.zzlag.top:9087/tsfile/live/1026_1.m3u8?key=txiptv
CCTV世界地理,http://www.zzlag.top:9087/tsfile/live/1027_1.m3u8?key=txiptv
CCTV兵器科技,http://www.zzlag.top:9087/tsfile/live/1028_1.m3u8?key=txiptv
CCTV央视文化精品,http://www.zzlag.top:9087/tsfile/live/1029_1.m3u8?key=txiptv
